,DAY,HOUR,LAT,LON,MONTH,YEAR,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed
0,1,0,37.542,-121.991,1,2018,50.19,0.0,45.83,0.85,clear-night,0.0,0.0,,1022.88,Clear,50.19,1514793600,6.58,85,1.74
1,1,1,37.542,-121.991,1,2018,50.01,0.24,45.78,0.85,clear-night,0.0,0.0,,1022.79,Clear,50.01,1514797200,6.6,96,2.15
2,1,2,37.542,-121.991,1,2018,48.87,0.14,45.31,0.87,clear-night,0.0,0.0,,1022.79,Clear,48.87,1514800800,6.05,111,2.31
3,1,3,37.542,-121.991,1,2018,47.56,0.05,44.8,0.9,clear-night,0.0,0.0,,1022.89,Clear,47.56,1514804400,6.0,246,1.25
4,1,4,37.542,-121.991,1,2018,46.36,0.16,44.25,0.92,clear-night,0.0,0.0,,1023.05,Clear,46.36,1514808000,4.55,134,0.82
5,1,5,37.542,-121.991,1,2018,45.54,0.1,43.36,0.92,clear-night,0.0,0.0,,1022.87,Clear,45.54,1514811600,4.95,76,2.15
6,1,6,37.542,-121.991,1,2018,44.96,0.08,42.86,0.92,clear-night,0.0,0.0,,1023.22,Clear,44.96,1514815200,4.61,81,1.2
7,1,7,37.542,-121.991,1,2018,43.49,0.17,42.08,0.95,clear-night,0.0,0.0,,1023.87,Clear,43.49,1514818800,4.48,106,0.26
8,1,8,37.542,-121.991,1,2018,43.26,0.2,41.98,0.95,clear-day,0.0,0.0,,1023.91,Clear,43.26,1514822400,3.8,33,2.58
9,1,9,37.542,-121.991,1,2018,47.0,0.18,45.18,0.93,clear-day,0.0,0.0,,1024.28,Clear,47.0,1514826000,4.36,85,2.08
10,1,10,37.542,-121.991,1,2018,50.89,0.19,45.8,0.83,clear-day,0.0,0.0,,1024.77,Clear,50.89,1514829600,4.3,163,1.78
11,1,11,37.542,-121.991,1,2018,53.0,0.16,46.31,0.78,clear-day,0.0,0.0,,1024.46,Clear,53.0,1514833200,4.67,78,0.56
