,DAY,HOUR,LAT,LON,MONTH,YEAR,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed
0,12,0,37.542,-121.991,3,2018,55.31,0.23,48.53,0.78,clear-night,0.0,0.0,,1019.3,Clear,55.31,1520838000,10.0,325,2.08
1,12,1,37.542,-121.991,3,2018,54.34,0.13,48.49,0.81,clear-night,0.0,0.0,,1019.07,Clear,54.34,1520841600,9.9,296,1.6
2,12,2,37.542,-121.991,3,2018,53.84,0.16,48.72,0.83,clear-night,0.0,0.0,,1019.27,Clear,53.84,1520845200,10.0,303,1.69
3,12,3,37.542,-121.991,3,2018,53.1,0.0,48.8,0.85,clear-night,0.0,0.0,,1019.09,Clear,53.1,1520848800,10.0,321,1.54
4,12,4,37.542,-121.991,3,2018,52.28,0.15,48.85,0.88,clear-night,0.0,0.0,,1018.2,Clear,52.28,1520852400,9.88,103,1.13
5,12,5,37.542,-121.991,3,2018,51.24,0.18,47.54,0.87,clear-night,0.0,0.0,,1017.66,Clear,51.24,1520856000,9.33,351,1.46
6,12,6,37.542,-121.991,3,2018,50.69,0.11,47.46,0.89,clear-night,0.0,0.0,,1017.55,Clear,50.69,1520859600,9.48,311,1.33
7,12,7,37.542,-121.991,3,2018,50.92,0.22,47.46,0.88,clear-night,0.0,0.0,,1017.62,Clear,50.92,1520863200,9.51,349,1.36
8,12,8,37.542,-121.991,3,2018,50.91,0.22,47.74,0.89,clear-day,0.0,0.0,,1017.76,Clear,50.91,1520866800,9.19,58,2.33
9,12,9,37.542,-121.991,3,2018,54.86,0.2,49.15,0.81,clear-day,0.0,0.0,,1017.69,Clear,54.86,1520870400,9.73,306,1.5
10,12,10,37.542,-121.991,3,2018,58.32,0.19,50.33,0.75,clear-day,0.0,0.0,,1017.63,Clear,58.32,1520874000,9.84,330,1.35
11,12,11,37.542,-121.991,3,2018,61.56,0.25,51.7,0.7,partly-cloudy-day,0.0,0.0,,1017.18,Partly Cloudy,61.56,1520877600,10.0,107,3.07
12,12,12,37.542,-121.991,3,2018,64.38,0.31,51.82,0.64,partly-cloudy-day,0.0,0.0,,1016.56,Partly Cloudy,64.38,1520881200,10.0,267,0.61
13,12,13,37.542,-121.991,3,2018,66.78,0.31,51.79,0.59,partly-cloudy-day,0.0,0.0,,1015.5,Partly Cloudy,66.78,1520884800,10.0,342,1.28
14,12,14,37.542,-121.991,3,2018,68.17,0.31,51.8,0.56,partly-cloudy-day,0.0,0.0,,1014.83,Partly Cloudy,68.17,1520888400,10.0,321,2.33
